videoID,label
68623b48,00101
68d6520a,00144
68fa8c34,00119
6908a5a9,00077
692d269a,00230
69574f3e,00042
6a79830d,00488
6abb3fe3,00391
6b653008,00028
6c1bf8c9,00613
6ccce0b2,00770
6ce83b37,00671
6d3e0684,00263
6d406998,00774
6e19bd51,00475
6e326c9e,00129
6e828482,00342
6eb2cc2e,00580
6fc737a4,00802
70142d64,00342
70c5fb29,00765
710594ca,00270
712ac880,00831
71974c86,00727
733c59e4,00415
734b96ac,00180
75e57901,00380
75e73f96,00736
76e2c357,00150
788f8987,00707
7933ba63,00280
79993059,00434
79bdd7ba,00414
7b2950ef,00012
7bdd0f2b,00147
7c01b613,00102
7d8bb375,00148
7df6f3aa,00324
7efeafc3,00260
7f7e161b,00432
7fe52f1a,00815
823abb7d,00388
82b0fe3e,00417
82ec2c74,00172
8316a3ba,00210
83359a0e,00501
835f6371,00046
8490a56d,00181
85a33ef2,00100
8634a03a,00685
8769767e,00442
878ded6c,00277
88467fd3,00149
88efa2e7,00727
8912fab5,00828
8a1ea4fb,00288
8a6cf43c,00505
8a8e6cbd,00697
8b1a3446,00563
8b20c1cc,00117
8b2c1233,00060
8b7d06e3,00240
8be7461e,00199
8cac1d2f,00470
8d042682,00293
8da46e1c,00237
8e25ac97,00848
8e532298,00490
8e5d8a3a,00069
8e62ed92,00227
8ec2755c,00672
9047a920,00242
905fdce8,00515
9107ad66,00377
92663ed4,00551
92efba3c,00808
92f1c24c,00488
934de5b0,00472
93e1ad5c,00774
949f434c,00312
94f5a3ea,00389
94fbcdf5,00000
9527c899,00123
95ae966e,00098
982a3925,00340
986adc08,00088
98771418,00285
99d27a1d,00414
9aab7242,00374
9aeef488,00245
9aff831c,00176
9b0ce755,00669
9c2e3ebd,00456
9ca5f7df,00198
9dc89b41,00727
9ea8e891,00385
9ee1c72f,00711
9f1d5b85,00219
9f2297c0,00317
a0413ea1,00528
a0f0d691,00041
a1d79966,00741
a205652c,00219
a44663cf,00042
a4e7cf6a,00659
a6945204,00532
a7e3c8f4,00334
a81faf70,00789
a83afac7,00385
a95a353c,00556
a9828c8a,00523
a9e748e3,00086
a9e983b6,00732
ab6991b2,00555
abb7ea3c,00440
ac23e52d,00236
ac69758d,00690
ad66e7f3,00091
ad7e44e8,00580
ad935039,00495
ae206902,00538
ae876dff,00150
afd6b7b8,00258
b019105d,00097
b050a12b,00150
b0ce9bc1,00605
b115de04,00320
b173a46a,00004
b2c41848,00406
b347ae72,00842
b34811e9,00250
b57888bb,00437
b5873f56,00529
b62f4ff9,00157
b6b47e6d,00735
b6d7d17f,00156
b72b0f23,00368
b7393f0c,00268
b97b8138,00254
ba004009,00407
ba2adedf,00224
bb73d880,00280
bc06c4cd,00668
bc574696,00213
bd64f87f,00047
bd99e6b0,00120
bda9738e,00695
be2d8ca7,00413
be3cc1f1,00500
bfa6d825,00552
bfb0fe0c,00128
c05608ee,00389
c084740a,00646
c2129384,00055
c4f2a457,00687
c4f6290b,00311
c5d2606b,00290
c6419751,00640
c719e19d,00790
c792fdfe,00583
c7bcdffa,00057
c8514af8,00238
c8a94374,00604
c8bf8ef7,00160
c906674b,00205
c9e28b05,00080
ca36600a,00662
caa74337,00617
cafb4401,00795
cb2a6333,00156
cb3e21a3,00434
cb7ed5f4,00409
cbbed52e,00762
cbd161fc,00163
cc3999c4,00556
cd59459d,00420
cdc4b147,00079
cdd7db7b,00647
cdf07533,00329
cdf0e7fd,00112
ce73f767,00074
ceaa972e,00550
cf8d02cd,00631
cfb61477,00216
cfe3cde4,00641
cffef5f2,00631
d05040bb,00269
d2813bef,00389
d2cfcbba,00827
d33ad61f,00474
d433c473,00689
d44b133c,00104
d4677a1b,00826
d5093f54,00332
d5e078fb,00597
d73a541a,00537
da57d7cc,00815
da6d8e44,00712
dab1d8a9,00038
db8f559f,00381
dbad0b79,00079
dc5590c3,00808
dd790aac,00184
dd84db8b,00568
dda81c13,00011
ddd15b17,00265
ddd980a2,00068
de457fb3,00224
df373840,00391
df507663,00003
e06dff2e,00617
e0cc2d0c,00615
e1369fee,00390
e1c1c8c0,00107
e1f2c8ab,00681
e2259d5c,00464
e2769212,00770
e3787959,00343
e41b3071,00724
e43ffe0a,00401
e55c38c1,00238
e59fdd74,00310
e5cbe3b6,00488
e67a8766,00318
e8c2dce5,00310
ea2cc9a9,00122
ea32db3c,00830
eb02c02c,00482
ebf084fb,00800
ec554d3f,00311
ed8f1184,00435
eea2cd9a,00142
eeafb3b3,00476
eedab132,00268
efd1fcdd,00611
f38da9b0,00430
f5cb9e21,00150
f5f923e4,00826
f647dacc,00377
f6824add,00616
f6ec8346,00070
f7ee735d,00383
f9bb5d23,00227
fafbb666,00662
fb3ace9d,00268
fbb893fc,00399
fc006494,00753
fc9a35e1,00409
fcd73eb8,00830
fd17ba34,00329
fdb2fc06,00056
fdc85ece,00688
fea41fe8,00102
feacfad1,00501
ff07ea70,00810
ff344a27,00857
ff3bd8d4,00170
ff5a4be6,00075
